global_idx,sentence,verb,theme,theme.pron,recipient,rec.pron,verb_lemma,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,babylm-default_ratio,babylm-balanced_ratio,loose-balanced_ratio,loose-default_ratio,removed_ratio,conti
392,did maggie give this to you as a present.,give,this,i,you,p,give,VB,2,maggie,IN,ADP,5,DT,PRON,3,to,4,10,dative,alternating,did maggie give you this as a present.,-0.07070016861,-0.1849398613,-0.1032001972,0.09815835953,-0.1090559959411621,1
2907,"and we and we were selling er mohair to France, all, all my working life into France we're selling mohair and our",selling,mohair,n,france,n,sell,VBG,5,we,IN,ADP,9,NN,NOUN,7,to,8,25,dative,alternating,"and we and we were selling er france mohair, all, all my working life into France we're selling mohair and our",-0.1843008995,-0.1452560425,-0.0836057663,-0.1625370979,0.2334842681884765,0
23060,"Nor did Ptolemy take into account that Caesar was granting amnesty to many of the senators and their men, men who once considered him an enemy.",granting,amnesty,n,"many of the senators and their men , men who once considered him an enemy",n,grant,VBG,9,caesar,IN,ADP,12,NN,NOUN,10,to,11,28,dative,alternating,"Nor did Ptolemy take into account that Caesar was granting many of the senators and their men, men who once considered him an enemy amnesty.",-0.7801523209,-0.7449755669,-0.8736424446,-0.5367717743,0.2950363159179687,1
6999,"When Altinum and her neighbouring cities roused themselves from the crushing desolation of conquest which had driven them forth to the remote borders of the mainland, they began to desire to live anew in the lagoons.",driven,them,p,the remote borders of the mainland,n,drive,VBN,16,which,IN,ADP,20,PRP,PRON,17,to,19,38,prep,alternating,"When Altinum and her neighbouring cities roused themselves from the crushing desolation of conquest which had driven the remote borders of the mainland them forth, they began to desire to live anew in the lagoons.",-0.5747461319,-0.4759626389,-0.5208110809,-0.5827994347,0.4582657814025879,0
8449,She would have dragged him to the closet.,dragged,him,p,the closet,n,drag,VBN,3,she,IN,ADP,6,PRP,PRON,4,to,5,9,prep,alternating,She would have dragged the closet him.,-1.905187607,-1.317329168,-0.6506209373,-1.933855057,1.1946473121643066,1
2989,Basically it was receiving telephone calls from the public erm and using that information to put on a computer to send officers to incidents  various incidents.,send,officers,n,incidents,n,send,VB,20,,IN,ADP,23,NNS,NOUN,21,to,22,28,dative,alternating,Basically it was receiving telephone calls from the public erm and using that information to put on a computer to send incidents officers  various incidents.,-0.2897157669,-0.09278011322,-0.2832245827,-0.09220266342,0.1161341667175293,1
16019,It's ours and we take it to the grave.,take,it,i,the grave,n,take,VBP,5,we,IN,ADP,8,PRP,PRON,6,to,7,11,prep,alternating,It's ours and we take the grave it.,-1.850411415,-0.8497331142,-0.7705094814,-1.68166852,1.483363389968872,1
661,give one to edna and one to daddy?,give,one,i,edna,n,give,VB,0,,IN,ADP,3,CD,NUM,1,to,2,9,dative,alternating,give edna one and one to daddy?,-1.434668541,-1.039973259,-1.87114501,-1.555906296,0.7739591598510742,1
20141,"Yeah, I can arrange that for you if you'd like.",arrange,that,i,you,p,arrange,VB,4,i,IN,ADP,7,DT,PRON,5,for,6,13,dative,benefactive_alternating,"Yeah, I can arrange you that if you'd like.",-0.7630941868,-0.5639317036,-0.7423038483,-0.5962240696,0.4826924800872803,1
15559,The only funny thing happening right now is that Mermaid-Ghost is paying zero attention to this conversation.,paying,zero attention,n,this conversation,n,pay,VBG,11,mermaid-ghost,IN,ADP,15,NN,NOUN,12,to,14,18,prep,alternating,The only funny thing happening right now is that Mermaid-Ghost is paying this conversation zero attention.,-0.7434811592,-0.6158699989,-0.6023511887,-1.030539989,0.8770670890808105,1
19187,"I could give it to you, you'll give it back to me when you can.",give,it,i,you,p,give,VB,2,i,IN,ADP,5,PRP,PRON,3,to,4,18,prep,alternating,"I could give you it, you'll give it back to me when you can.",-0.4177715778,-0.3328793049,-0.2097644806,-0.2889904976,0.1619904041290283,1
2627,Are you going to give it to Cider?,give,it,i,cider,n,give,VB,4,,IN,ADP,7,PRP,PRON,5,to,6,9,prep,alternating,Are you going to give cider it?,-1.222988129,-0.7375349998,-1.033520937,-1.692361355,0.7880344390869141,1
6366,"In fact, it would seem that his imagination carried his mind away from the current problems of administration and policy to another field.",carried,his mind,n,another field,n,carry,VBD,9,his imagination,IN,ADP,22,NN,NOUN,10,to,21,25,prep,alternating,"In fact, it would seem that his imagination carried another field his mind away from the current problems of administration and policy.",-0.4597334862,-0.4465527534,-0.2643785477,-0.6618990898,0.3314299583435058,0
15227,How can we sell pancakes and old clothes to our rich VVIP guests?,sell,pancakes and old clothes,n,our rich vvip guests,n,sell,VB,3,we,IN,ADP,9,NNS,NOUN,4,to,8,14,dative,alternating,How can we sell our rich vvip guests pancakes and old clothes?,-0.8161320686,-0.9624671936,-0.7335586548,-0.7669315338,0.5594873428344727,1
6592,"While the Jolly Doctor was reflecting on this reply, the Red Nosed Gentleman, raising his glass of burgundy to the Sour Gentleman who returned the compliment in whiskey, said:",raising,his glass of burgundy,n,the sour gentleman who returned the compliment in whiskey,n,raise,VBG,15,,IN,ADP,21,NN,NOUN,16,to,20,33,prep,po_only,"While the Jolly Doctor was reflecting on this reply, the Red Nosed Gentleman, raising the sour gentleman who returned the compliment in whiskey his glass of burgundy, said:",-0.467233181,-0.5899505615,-0.4601449966,-0.5480327606,0.4552502632141113,1
5675,"England had indeed assumed an attitude of opposition to the slave-trade; but her traders did not scruple to sell rum to slave dealers, and especially were they interested in the palm oil of Liberia.",sell,rum,n,slave dealers,n,sell,VB,19,,IN,ADP,22,NN,NOUN,20,to,21,37,dative,alternating,"England had indeed assumed an attitude of opposition to the slave-trade; but her traders did not scruple to sell slave dealers rum, and especially were they interested in the palm oil of Liberia.",-0.4193763733,-0.2997550964,-0.08132410049,-0.1901512146,0.2085537910461425,1
17377,I'm taking you to my ship.,taking,you,p,my ship,n,take,VBG,2,i,IN,ADP,5,PRP,PRON,3,to,4,8,prep,alternating,I'm taking my ship you.,-1.520023108,-0.8054497242,-1.404084682,-1.747834444,0.7531719207763672,1
2397,"free to come and go and er there is a contribution that's held at the back, but here in, in the talk it's highlighting their various ways, this is one of them that we can keep spiritually awake is by being aware of the need for financial contributions, Jehovah has done much for us through his organization and we can show love for him by full support with our time and finances and then another one look  stay awake by showing love to you and act loyal  sometimes it's easier to show love to some in the congregation than others, we naturally have an affinity for one another and certain types of personalities seemed to gel with others don't they?",show,love,n,some in the congregation,n,show,VB,100,,IN,ADP,103,NN,NOUN,101,to,102,132,dative,alternating,"free to come and go and er there is a contribution that's held at the back, but here in, in the talk it's highlighting their various ways, this is one of them that we can keep spiritually awake is by being aware of the need for financial contributions, Jehovah has done much for us through his organization and we can show love for him by full support with our time and finances and then another one look  stay awake by showing love to you and act loyal  sometimes it's easier to show some in the congregation love than others, we naturally have an affinity for one another and certain types of personalities seemed to gel with others don't they?",-0.0946521759,-0.1152176857,-0.07138967514,-0.06493806839,0.0792498588562011,1
5402,"I have grown old in the service of my master, and because I cannot dance properly now he intends to sell me to the butcher.",sell,me,p,the butcher,n,sell,VB,22,,IN,ADP,25,PRP,PRON,23,to,24,28,prep,alternating,"I have grown old in the service of my master, and because I cannot dance properly now he intends to sell the butcher me.",-0.5514252186,-0.3102600574,-0.3446753025,-0.489374876,0.2501120567321777,1
8825,Only yesterday I sold a piece of Rhodes embroidery to an English lieutenant for four times its value.,sold,a piece of rhodes embroidery,n,an english lieutenant,n,sell,VBD,3,i,IN,ADP,10,NN,NOUN,4,to,9,19,dative,alternating,Only yesterday I sold an english lieutenant a piece of Rhodes embroidery for four times its value.,-0.4767451286,-0.5626039505,-0.7915463448,-0.7982201576,0.226142406463623,1
17317,Drive yourself to the pit stop.,Drive,yourself,p,the pit stop,n,drive,VB,0,,IN,ADP,3,PRP,PRON,1,to,2,7,prep,alternating,Drive the pit stop yourself.,-2.43121171,-1.607421875,-1.596909523,-1.854066133,1.4741106033325195,1
8182,"He, with Tad and half a hundred villagers, stood on the platform waving their hats and shouting their good-byes to the departing Pony Rider Boys.",shouting,their good-byes,n,the departing pony rider boys,n,shout,VBG,18,,IN,ADP,22,NNS,NOUN,19,to,21,28,prep,po_only,"He, with Tad and half a hundred villagers, stood on the platform waving their hats and shouting the departing pony rider boys their good-byes.",-0.5458035469,-0.3389253616,-0.537730217,-0.4679441452,0.3346686363220215,1
12211,Just don't take me to jail.,take,me,p,jail,n,take,VB,3,,IN,ADP,6,PRP,PRON,4,to,5,8,prep,alternating,Just don't take jail me.,-2.154120445,-0.7384126186,-0.9744095802,-1.389429331,0.7712669372558594,1
1673,"Oh, gonna show this to Peter now.",show,this,i,peter,n,show,VB,4,,IN,ADP,7,DT,PRON,5,to,6,10,dative,alternating,"Oh, gonna show peter this now.",-1.23576498,-0.8193411827,-0.6229023933,-0.7703418732,0.3550443649291992,1
6911,"For two hours Charley watched her going in and out, whispering directions to Mrs. Flynn, doing household duty, bringing warmth in with her, and leaving light behind her.",whispering,directions,n,mrs. flynn,n,whisper,VBG,11,,IN,ADP,14,NNS,NOUN,12,to,13,33,prep,po_only,"For two hours Charley watched her going in and out, whispering mrs. flynn directions doing household duty, bringing warmth in with her, and leaving light behind her.",-0.568192482,-0.4969100952,-0.6894350052,-0.7377605438,0.5252265930175781,1
21993,Salceda urged PAGASA to assign names to weather systems that are not storms that cause disruptions.,assign,names,n,weather systems that are not storms that cause disruptions,n,assign,VB,4,,IN,ADP,7,NNS,NOUN,5,to,6,17,prep,alternating,Salceda urged PAGASA to assign weather systems that are not storms that cause disruptions names.,-0.6223964691,-0.7975482941,-0.7702813148,-0.5802855492,0.3311295509338379,1
20519,He let out his flock and took them to the pasture.,took,them,p,the pasture,n,take,VBD,6,,IN,ADP,9,PRP,PRON,7,to,8,12,prep,alternating,He let out his flock and took the pasture them.,-1.50799489,-0.6122300625,-0.7201902866,-1.604471684,0.9303088188171388,1
24495,Club members served as caddies and served food to the guests.,served,food,n,the guests,n,serve,VBD,6,,IN,ADP,9,NN,NOUN,7,to,8,12,dative,alternating,Club members served as caddies and served the guests food.,-0.6897144318,-0.9596004486,-0.6886987686,-0.5772633553,0.7475523948669434,1
1065,no ross i'm not going to give them to you.,give,them,p,you,p,give,VB,7,,IN,ADP,10,PRP,PRON,8,to,9,12,prep,alternating,no ross i'm not going to give you them.,-0.3763301373,-0.2795376778,-0.3288834095,-0.2814002037,0.1136646270751953,1
21714,"The leader, Captain John Smith, made the rules for the men.",made,the rules,n,the men,n,make,VBD,7,"the leader , captain john smith ,",IN,ADP,11,NNS,NOUN,8,for,10,14,dative,benefactive_alternating,"The leader, Captain John Smith, made the men the rules.",-0.4400014877,-0.5417146683,-0.598968029,-0.8119566441,0.515467643737793,1
14202,"And that's one of the things that gives meaning to my climbing, is having fun with my friends in beautiful places and discovering things all the time.",gives,meaning,n,my climbing,n,give,VBZ,8,that,IN,ADP,11,NN,NOUN,9,to,10,30,dative,alternating,"And that's one of the things that gives my climbing meaning, is having fun with my friends in beautiful places and discovering things all the time.",-0.2382161617,-0.422399044,-0.2540335655,-0.315747261,0.1462740898132324,1
11427,I'VE REPORTED THE SITUATION TO WASHINGTON.,REPORTED,the situation,n,washington,n,report,VBN,1,i've,IN,ADP,5,NN,NOUN,2,to,4,7,prep,po_only,I'VE REPORTED washington THE SITUATION.,-1.530652046,-1.066420794,-1.150791883,-0.9838719368,1.3372750282287598,1
2873,give it to me,give,it,i,me,p,give,VB,0,,IN,ADP,3,PRP,PRON,1,to,2,4,dative,alternating,give me it,-1.867750406,-1.511568785,-1.614579439,-1.836815119,0.4934558868408203,1
17386,Aang flew us to his home.,flew,us,p,his home,n,fly,VBD,1,aang,IN,ADP,4,PRP,PRON,2,to,3,7,prep,alternating,Aang flew his home us.,-2.48815155,-1.052996635,-1.496874809,-2.576380253,1.070995807647705,1
8054,"Then he continued, with instinctive suspicion, ""It is a strange fashion thou hast of introducing a type to these gentlemen. """,introducing,a type,n,these gentlemen,n,introduce,VBG,17,,IN,ADP,21,NN,NOUN,18,to,20,25,prep,po_only,"Then he continued, with instinctive suspicion, ""It is a strange fashion thou hast of introducing these gentlemen a type. """,-0.1891698837,-0.2360363007,-0.1985445023,-0.2162604332,0.0320644378662109,1
19372,I haven't had time to communicate that to Command.,communicate,that,i,command,n,communicate,VB,6,,IN,ADP,9,DT,PRON,7,to,8,11,prep,po_only,I haven't had time to communicate command that.,-0.7703793049,-0.6490561962,-0.5934765339,-0.6102049351,0.3857898712158203,1
768,shall we give some of your toys to another little girl?,give,some of your toys,n,another little girl,n,give,VB,2,we,IN,ADP,8,DT,PRON,3,to,7,12,prep,alternating,shall we give another little girl some of your toys?,-0.1786925793,-0.6332161427,-0.8173744678,-0.123544693,-0.0802969932556152,1
8332,"Then while the people cheered, they went into the temple of Isis and offered thanks to the goddess for their salvation.",offered,thanks,n,the goddess,n,offer,VBD,14,,IN,ADP,17,NNS,NOUN,15,to,16,23,dative,alternating,"Then while the people cheered, they went into the temple of Isis and offered the goddess thanks for their salvation.",-0.5178189278,-0.4662914276,-0.4556343555,-0.6033658981,0.1457223892211914,1
16773,Say night-night to the family.,Say,night-night,n,the family,n,say,VB,0,,IN,ADP,3,NN,NOUN,1,to,2,6,prep,po_only,Say the family night-night.,-1.668346405,-1.453924656,-0.9776496887,-1.346369267,1.6900200843811035,1
12933,"Get a fake ID for him, too.",Get,a fake id,n,him,p,get,VB,0,,IN,ADP,5,NN,NOUN,1,for,4,9,dative,benefactive_alternating,"Get him a fake ID, too.",-0.1139066219,-0.2518241405,-0.4991707802,-0.09946584702,0.6509017944335938,1
17718,"Well, I'll give it to them...",give,it,i,them,p,give,VB,4,i,IN,ADP,7,PRP,PRON,5,to,6,11,dative,alternating,"Well, I'll give them it...",-0.8689742088,-0.6672940254,-0.2999515533,-0.7256379128,0.5231976509094238,1
22573,"In May 2007 West joined a demonstration against ""injustices faced by the Palestinian people resulting from the Israeli occupation"" and ""to bring attention to this 40 year travesty of justice"".",bring,attention,n,this 40 year travesty of justice,n,bring,VB,24,,IN,ADP,27,NN,NOUN,25,to,26,35,prep,alternating,"In May 2007 West joined a demonstration against ""injustices faced by the Palestinian people resulting from the Israeli occupation"" and ""to bring this 40 year travesty of justice attention "".",-0.3462300301,-0.2252078056,-0.1686201096,-0.1820492744,0.3252310752868652,1
7667,"""So she baked it for him and gave him her blessing, and he went away, and she a-weeping after him fine and loud.",baked,it,i,him,p,bake,VBD,3,she,IN,ADP,6,PRP,PRON,4,for,5,27,dative,benefactive_alternating,"""So she baked him it and gave him her blessing, and he went away, and she a-weeping after him fine and loud.",-0.1446492672,-0.07962965965,-0.1000087261,-0.3382489681,0.0894098281860351,1
20897,"In East Asia, since China introduced writing to nearby countries, especially Japan, Korea, and Vietnam.",introduced,writing,n,"nearby countries , especially japan , korea , and vietnam",n,introduce,VBD,6,china,IN,ADP,9,NN,NOUN,7,to,8,20,prep,po_only,"In East Asia, since China introduced nearby countries, especially japan, korea, and vietnam writing.",-0.3125810623,-0.439081192,-0.4942140579,-0.5854997635,0.3099303245544433,1
14026,"You stepped on my food, pay it to me.",pay,it,i,me,p,pay,VBP,6,,IN,ADP,9,PRP,PRON,7,to,8,11,dative,alternating,"You stepped on my food, pay me it.",-0.6182713509,-0.1703472137,-0.3909835815,-0.7055492401,0.03104829788208,1
8783,Kostakes paid no attention to the low salaams of his two wives.,paid,no attention,n,the low salaams of his two wives,n,pay,VBD,1,kostakes,IN,ADP,5,NN,NOUN,2,to,4,13,prep,alternating,Kostakes paid the low salaams of his two wives no attention.,-1.224826097,-0.8275318146,-1.059047699,-1.17885685,1.5240845680236816,1
12153,It is the only president ever giving bad news to the American people.,giving,bad news,n,the american people,n,give,VBG,6,,IN,ADP,10,NN,NOUN,7,to,9,14,dative,alternating,It is the only president ever giving the american people bad news.,-0.3521082401,-0.3484218121,-0.1155586243,-0.451230526,0.4673428535461426,1
25677,"However, Wang Chen and Wang Ye reported the plot to Sima Zhao instead, and Cao Mao ended up being assassinated by Sima Zhao's men.",reported,the plot,n,sima zhao,n,report,VBD,7,wang chen and wang ye,IN,ADP,11,NN,NOUN,8,to,10,28,prep,po_only,"However, Wang Chen and Wang Ye reported sima zhao the plot instead, and Cao Mao ended up being assassinated by Sima Zhao's men.",-0.3982777596,-0.3399381638,-0.3430662155,-0.2329597473,0.4589147567749023,1
9700,- But you owe it to me.,owe,it,i,me,p,owe,VBP,3,you,IN,ADP,6,PRP,PRON,4,to,5,8,dative,alternating,- But you owe me it.,-0.7554035187,-0.4376571178,-0.3166861534,-0.7273406982,0.5564155578613281,1
20417,- I'll send you to the hospital!,send,you,p,the hospital,n,send,VB,3,i,IN,ADP,6,PRP,PRON,4,to,5,9,prep,alternating,- I'll send the hospital you!,-1.306694508,-0.4670724869,-0.5807318687,-1.574309111,1.0937542915344238,1
18835,Did you write that for me?,write,that,i,me,p,write,VB,2,you,IN,ADP,5,DT,PRON,3,for,4,7,dative,benefactive_alternating,Did you write me that?,-0.5804433823,-0.9298722744,-0.39417243,-0.6596112251,0.8590974807739258,1
17916,Give it to me.,Give,it,i,me,p,give,VB,0,,IN,ADP,3,PRP,PRON,1,to,2,5,prep,alternating,Give me it.,-1.399883747,-1.048850775,-1.094907999,-1.274811506,0.2185502052307129,1
5734,"If what is called local tone colour is necessary to music (which it most emphatically is not), why not adopt some of the Hindoo Ragas and modes--each one of which (and the modes alone number over seventy-two) will give an individual tonal character to the music written according to its rules?",give,an individual tonal character,n,the music written according to its rules,n,give,VB,43,one of which ( and the modes alone number over seventy-two ),IN,ADP,49,NN,NOUN,44,to,48,57,dative,alternating,"If what is called local tone colour is necessary to music (which it most emphatically is not), why not adopt some of the Hindoo Ragas and modes--each one of which (and the modes alone number over seventy-two) will give the music written according to its rules an individual tonal character?",-0.2947525978,-0.2196507454,-0.2015914917,-0.2333073616,0.2513465881347656,1
18255,"Leave it to me, I'll take care of it",Leave,it,i,me,p,leave,VB,0,,IN,ADP,3,PRP,PRON,1,to,2,11,prep,alternating,"Leave me it, I'll take care of it",-0.7864660025,-0.4732862711,-0.2121858597,-0.6587644815,0.1487605571746826,1
3668,"Snati-Snati heard this and told it to Ring, advising him to ask the King for two axes, so that he might have one in reserve if the first one got broken.",told,it,i,ring,n,tell,VBD,4,,IN,ADP,7,PRP,PRON,5,to,6,34,dative,alternating,"Snati-Snati heard this and told ring it, advising him to ask the King for two axes, so that he might have one in reserve if the first one got broken.",-0.3919510841,-0.2750077248,-0.2220957279,-0.2700505257,0.2800965309143066,1
23781,"""Silvestrosaurus"" is very similar to its close relative ""Lariosaurus"" (see above) but there are enough differences for most people to assign them to different genera.",assign,them,p,different genera,n,assign,VB,26,most people,IN,ADP,29,PRP,PRON,27,to,28,32,prep,alternating,"""Silvestrosaurus"" is very similar to its close relative ""Lariosaurus"" (see above) but there are enough differences for most people to assign different genera them.",-0.5055186749,-0.337685585,-0.3892967701,-0.363255024,0.1676278114318847,1
6514,"Coldheart had sent twenty ponies to the Black-foot chief, Dull Knife, where he lived on the banks of the Little Bighorn.",sent,twenty ponies,n,"the black-foot chief , dull knife , where he lived on the banks of the little bighorn",n,send,VBN,2,coldheart,IN,ADP,6,NNS,NOUN,3,to,5,24,prep,alternating,"Coldheart had sent the black-foot chief, dull knife, where he lived on the banks of the little bighorn twenty ponies.",-0.4034552574,-0.584125042,-0.2477493286,-0.2653412819,0.1762571334838867,1
7493,"It was early one Saturday afternoon in March, Mark had walked back by a long round from the school to his lodgings through the parks, and the flower-beds were gay with the lilac, yellow and white of crocus and snowdrop, the smoke-blackened twigs were studded with tiny spikes of tender green, and the air was warm and subtly aromatic with the promise of spring--even in the muddy tainted streets the Lent-lilies and narcissus flowers in the street-sellers' baskets gave touches of passing sweetness to the breeze.",gave,touches of passing sweetness,n,the breeze,n,give,VBD,84,the lent-lilies and narcissus flowers in the street-sellers ' baskets,IN,ADP,90,NNS,NOUN,85,to,89,93,dative,alternating,"It was early one Saturday afternoon in March, Mark had walked back by a long round from the school to his lodgings through the parks, and the flower-beds were gay with the lilac, yellow and white of crocus and snowdrop, the smoke-blackened twigs were studded with tiny spikes of tender green, and the air was warm and subtly aromatic with the promise of spring--even in the muddy tainted streets the Lent-lilies and narcissus flowers in the street-sellers' baskets gave the breeze touches of passing sweetness.",-0.08943557739,-0.06693553925,-0.06652784348,-0.063144207,0.0325140953063964,1
3226,But it is not known whether this ring was ever made by mortal hands : it is supposed that an angel gave it to the wise King. ',gave,it,i,the wise king,n,give,VBD,21,an angel,IN,ADP,24,PRP,PRON,22,to,23,29,dative,alternating,But it is not known whether this ring was ever made by mortal hands : it is supposed that an angel gave the wise king it. ',-0.4995048046,-0.3238072395,-0.3580336571,-0.6262152195,0.3332610130310058,1
14452,Order black tea for me,Order,black tea,n,me,p,order,VB,0,,IN,ADP,4,NN,NOUN,1,for,3,5,dative,benefactive_alternating,Order me black tea,-1.166108131,-0.9330453873,-2.05554533,-1.851630688,1.4344682693481443,1
781,you want me to read that to you?,read,that,i,you,p,read,VB,4,me,IN,ADP,7,DT,PRON,5,to,6,9,prep,alternating,you want me to read you that?,-0.8663403988,-0.6011390686,-0.2712678909,-0.5363514423,0.8522911071777344,1
19873,"They want money, just give it to them",give,it,i,them,p,give,VB,5,,IN,ADP,8,PRP,PRON,6,to,7,9,dative,alternating,"They want money, just give them it ",-0.7574648857,-0.5368931293,-0.7233295441,-0.7116465569,0.0233573913574218,1
9777,My boss-boss asked me to take the CEO of Consolidated to the NBA playoffs.,take,the ceo of consolidated,n,the nba playoffs,n,take,VB,5,,IN,ADP,11,NN,NOUN,6,to,10,15,prep,alternating,My boss-boss asked me to take the nba playoffs the CEO of Consolidated.,-0.9347715378,-0.7927045822,-0.9622340202,-0.7470474243,0.9057731628417968,1
24510,"He successfully defended the title six times before dropping it to K-ness on January 11, 2010.",dropping,it,i,k-ness,n,drop,VBG,8,,IN,ADP,11,PRP,PRON,9,to,10,18,prep,po_only,"He successfully defended the title six times before dropping k-ness it on January 11, 2010.",-0.822324276,-0.4389047623,-0.3060288429,-0.8184771538,0.5498743057250977,1
21475,"They raised the family's children, cooked, cleaned and served the food to their masters.",served,the food,n,their masters,n,serve,VBD,11,,IN,ADP,15,NN,NOUN,12,to,14,18,dative,alternating,"They raised the family's children, cooked, cleaned and served their masters the food.",-0.5463023186,0.1006987095,0.09580898285,-0.2793917656,0.2981891632080078,1
21070,"He takes the injured doctor to the ""City of Joy"".",takes,the injured doctor,n,"the "" city of joy """,n,take,VBZ,1,he,IN,ADP,6,NN,NOUN,2,to,5,13,prep,alternating,"He takes the "" city of joy "" the injured doctor.",-0.6476140022,-0.2838087082,-0.21743536,-0.009224414825,-0.3080010414123535,1
8116,"As the vibrations of the Sun bring life, energy, and strength to all things having life, so this sunny man brings positive, bright, cheerful and happy thoughts to us, and stimulates, encourages and strengthens us.",brings,"positive , bright , cheerful and happy thoughts",n,us,p,bring,VBZ,23,this sunny man,IN,ADP,33,NNS,NOUN,24,to,32,43,dative,alternating,"As the vibrations of the Sun bring life, energy, and strength to all things having life, so this sunny man brings us positive, bright, cheerful and happy thoughts, and stimulates, encourages and strengthens us.",-0.1646904945,-0.2141218185,-0.08605766296,-0.01727294922,0.1263580322265625,1
