index,sentence
3268,"Meg bathed the insulted hand with glycerine and tears , Beth felt that even her beloved kittens would fail as a balm for griefs like this , Jo wrathfully proposed that Mr. Davis be arrested without delay , and Hannah shook her fist at the ` villain ' and pounded potatoes for dinner as if she had him under her pestle ."
3402,I've already told Mr. Walden that I won't be investing in your company.
3428,"Fritz, go to the plant room and tell Wolfe the goose hasn't been delivered yet."
3456,"How well I remember seeing him galloping at the head of his Mounted Infantry straight for Pretoria; and my rage when, under orders from Headquarters, I had to send swift messengers to tell him he must rein back for some reason never made clear."
3530,"In 1777, Antoine Lavosier convinced the scientific community that sulfur was an element."
3599,"I, I think I, I'm planning on like moving up, getting a three eighty-six before I move up to windows although, you know, I do like the, the graphical user environment."
3644,I've been calling you for days.
3690,I told her I couldn't possibly leave you.
3866,"Phyno won the Best Rap Single category for his song ""Man of the Year""."
3961,"Before he left England, on September 18, 1813, at the request of his mother, he wrote to an uncle and aunt the following account of himself:--"
3982,"He had no experience writing ballet stories so he called upon Vernoy de St. Georges, a man who had written many stories for the ballet."
3988,The ask Belshazzar why he looks so sad and stops talking so suddenly.
3991,"This name was given to the square in the 1960s to reflect the proximity of the square to the site of Sheffield Castle, which was formerly located a short distance to the north-east."
